State,Department,Website,District,Block
Telangana,"Agriculture&Cooperation Department,Vikarabad",RTI_telangana,Vikarabad,NA
Telangana,Agriculture&Co-operationDept(ProfessorJayashankarTGAgroUniversity),RTI_telangana,NA,NA
Telangana,"AGRIL. MARKET COMMITTEE, MOTHKUR",RTI_telangana,MOTHKUR,NA
Telangana,"AGRIL.MARKET COMMITTEE VALIGONDA HQ, RAMANNAPET",RTI_telangana,RAMANNAPET,NA
Telangana,"AGRIL.MARKET COMMITTEE, ALAIR,Yadadri",RTI_telangana,Yadadri,NA
Telangana,"AGRIL.MARKET COMMITTEE,CHOTUPPAL",RTI_telangana,CHOTUPPAL,NA
Telangana,"Animal Huasbandry&Fisheries Department,Kothagudem",RTI_telangana,Bhadradri Kothagudem,NA
Telangana,Animal Husbadry & Veterinary Department,RTI_telangana,NA,NA
Telangana,"Animal Husbadry & Veterinary Department((AVH), Peddapally",RTI_telangana,Peddapally,NA
Telangana,Animal Husbadry & Veterinary Department((DV&AHO) Kothagudem,RTI_telangana,Bhadradri Kothagudem,NA
Telangana,Animal Husbadry & Veterinary Department((DV&AHO) Medak,RTI_telangana,Medak,NA
Telangana,Animal Husbadry & Veterinary Department((DV&AHO) Wanaparthy,RTI_telangana,Wanaparthy,NA
Telangana,"Animal Husbadry & Veterinary Department((DV&AHO), Rajanna Sircilla",RTI_telangana,Rajanna Sircilla,NA
Telangana,"Animal Husbadry & Veterinary Department((DV&AHO), Hanumakonda",RTI_telangana,Hanamkonda,NA
Telangana,"Animal Husbadry & Veterinary Department((DV&AHO),KAMAREDDY",RTI_telangana,Kamareddy,NA
Telangana,"Animal Husbadry & Veterinary Department((DV&AHO),Khammam",RTI_telangana,Khammam,NA
Telangana,"Animal Husbadry & Veterinary Department((DV&AHO),Nirmal",RTI_telangana,Nirmal,NA
Telangana,"Animal Husbadry & Veterinary Department((DV&AHO),Nizamabad",RTI_telangana,Nizamabad,NA
